   ID    Solved      Time    Points  Attempts     Place
    1         5       120        25         0         1

   22         5       210        25         0         2

   32         5       220        25         0         3

   52         5       240        25         0         4

   42         5       250        25         0         5

   62         5       250        25         0         6

   72         5       270        25         0         7

   82         5       280        25         0         8

   92         5       290        25         0         9

    6         5       130        24         1        10

   17         5       200        24         1        11

   37         5       230        24         1        12

   27         5       250        24         1        13

   67         5       260        24         1        14

   12         5       270        24         0        15

   47         5       280        24         1        16

   77         5       280        24         1        17

   57         5       290        24         1        18

   87         5       290        24         1        19

   97         5       300        24         1        20

    2         4       150        23         2        21

   13         4       180        23         2        22

   23         4       180        23         2        23

   33         4       250        23         2        24

   63         4       260        23         2        25

   93         4       260        23         2        26

   43         4       280        23         2        27

   73         4       280        23         2        28

   53         4       290        23         2        29

   83         4       290        23         2        30

    7         4       160        22         3        31

   18         4       210        22         3        32

   28         4       220        22         3        33

   48         4       220        22         3        34

   58         4       230        22         3        35

   88         4       250        22         3        36

   38         4       270        22         3        37

   68         4       270        22         3        38

   98         4       270        22         3        39

   78         4       290        22         3        40

    3         3       180        20         4        41

   24         3       200        20         4        42

   14         3       240        20         4        43

   54         3       250        20         4        44

   84         3       260        20         4        45

   64         3       270        20         4        46

   94         3       270        20         4        47

   34         3       280        20         4        48

   44         3       290        20         4        49

   74         3       290        20         4        50

    8         3       190        19         5        51

   19         3       220        19         5        52

   39         3       220        19         5        53

   49         3       230        19         5        54

   59         3       240        19         5        55

   79         3       250        19         5        56

   29         3       260        19         5        57

   89         3       260        19         5        58

   69         3       280        19         5        59

   99         3       280        19         5        60

   25         2       190        18         6        61

    4         2       200        18         6        62

   45         2       210        18         6        63

   55         2       260        18         6        64

   75         2       260        18         6        65

   15         2       270        18         6        66

   35         2       270        18         6        67

   85         2       270        18         6        68

   65         2       280        18         6        69

   95         2       280        18         6        70

    9         2       210        17         7        71

   20         2       230        17         7        72

   50         2       240        17         7        73

   60         2       250        17         7        74

   80         2       260        17         7        75

  100         2       260        17         7        76

   90         2       270        17         7        77

   30         2       290        17         7        78

   40         2       290        17         7        79

   70         2       290        17         7        80

    5         1       220        15         8        81

   46         1       250        15         8        82

   36         1       260        15         8        83

   56         1       270        15         8        84

   76         1       270        15         8        85

   16         1       280        15         8        86

   26         1       280        15         8        87

   86         1       280        15         8        88

   66         1       290        15         8        89

   96         1       290        15         8        90

   10         1       230        14         9        91

   21         1       240        14         9        92

   31         1       240        14         9        93

   41         1       260        14         9        94

   61         1       260        14         9        95

   81         1       270        14         9        96

   91         1       280        14         9        97

   51         1       290        14         9        98

   71         1       300        14         9        99

   11         0        60         0         0       100
