t,x,y
0.000000,0.000000,0.000000
0.010000,0.070711,0.070220
0.020000,0.141421,0.139459
0.030000,0.212132,0.207718
0.040000,0.282843,0.274995
0.050000,0.353553,0.341291
0.060000,0.424264,0.406606
0.070000,0.494975,0.470940
0.080000,0.565685,0.534293
0.090000,0.636396,0.596666
0.100000,0.707107,0.658057
0.110000,0.777817,0.718467
0.120000,0.848528,0.777896
0.130000,0.919239,0.836344
0.140000,0.989949,0.893811
0.150000,1.060660,0.950298
0.160000,1.131371,1.005803
0.170000,1.202082,1.060327
0.180000,1.272792,1.113870
0.190000,1.343503,1.166432
0.200000,1.414214,1.218014
0.210000,1.484924,1.268614
0.220000,1.555635,1.318233
0.230000,1.626346,1.366871
0.240000,1.697056,1.414528
0.250000,1.767767,1.461204
0.260000,1.838478,1.506900
0.270000,1.909188,1.551614
0.280000,1.979899,1.595347
0.290000,2.050610,1.638099
0.300000,2.121320,1.679870
0.310000,2.192031,1.720661
0.320000,2.262742,1.760470
0.330000,2.333452,1.799298
0.340000,2.404163,1.837145
0.350000,2.474874,1.874011
0.360000,2.545584,1.909896
0.370000,2.616295,1.944801
0.380000,2.687006,1.978724
0.390000,2.757716,2.011666
0.400000,2.828427,2.043627
0.410000,2.899138,2.074607
0.420000,2.969848,2.104606
0.430000,3.040559,2.133625
0.440000,3.111270,2.161662
0.450000,3.181981,2.188718
0.460000,3.252691,2.214793
0.470000,3.323402,2.239887
0.480000,3.394113,2.264001
0.490000,3.464823,2.287133
0.500000,3.535534,2.309284
0.510000,3.606245,2.330454
0.520000,3.676955,2.350643
0.530000,3.747666,2.369851
0.540000,3.818377,2.388079
0.550000,3.889087,2.405325
0.560000,3.959798,2.421590
0.570000,4.030509,2.436874
0.580000,4.101219,2.451177
0.590000,4.171930,2.464500
0.600000,4.242641,2.476841
0.610000,4.313351,2.488201
0.620000,4.384062,2.498580
0.630000,4.454773,2.507978
0.640000,4.525483,2.516395
0.650000,4.596194,2.523832
0.660000,4.666905,2.530287
0.670000,4.737615,2.535761
0.680000,4.808326,2.540254
0.690000,4.879037,2.543766
0.700000,4.949747,2.546297
0.710000,5.020458,2.547848
0.720000,5.091169,2.548417
0.730000,5.161880,2.548005
0.740000,5.232590,2.546612
0.750000,5.303301,2.544238
0.760000,5.374012,2.540884
0.770000,5.444722,2.536548
0.780000,5.515433,2.531231
0.790000,5.586144,2.524933
0.800000,5.656854,2.517654
0.810000,5.727565,2.509394
0.820000,5.798276,2.500154
0.830000,5.868986,2.489932
0.840000,5.939697,2.478729
0.850000,6.010408,2.466545
0.860000,6.081118,2.453380
0.870000,6.151829,2.439234
0.880000,6.222540,2.424108
0.890000,6.293250,2.408000
0.900000,6.363961,2.390911
0.910000,6.434672,2.372841
0.920000,6.505382,2.353790
0.930000,6.576093,2.333759
0.940000,6.646804,2.312746
0.950000,6.717514,2.290752
0.960000,6.788225,2.267777
0.970000,6.858936,2.243821
0.980000,6.929646,2.218884
0.990000,7.000357,2.192967
1.000000,7.071068,2.166068
1.010000,7.141778,2.138188
1.020000,7.212489,2.109327
1.030000,7.283200,2.079485
1.040000,7.353911,2.048663
1.050000,7.424621,2.016859
1.060000,7.495332,1.984074
1.070000,7.566043,1.950308
1.080000,7.636753,1.915561
1.090000,7.707464,1.879833
1.100000,7.778175,1.843125
1.110000,7.848885,1.805435
1.120000,7.919596,1.766764
1.130000,7.990307,1.727112
1.140000,8.061017,1.686479
1.150000,8.131728,1.644865
1.160000,8.202439,1.602271
1.170000,8.273149,1.558695
1.180000,8.343860,1.514138
1.190000,8.414571,1.468600
1.200000,8.485281,1.422081
1.210000,8.555992,1.374582
1.220000,8.626703,1.326101
1.230000,8.697413,1.276639
1.240000,8.768124,1.226196
1.250000,8.838835,1.174772
1.260000,8.909545,1.122367
1.270000,8.980256,1.068982
1.280000,9.050967,1.014615
1.290000,9.121677,0.959267
1.300000,9.192388,0.902938
1.310000,9.263099,0.845628
1.320000,9.333810,0.787338
1.330000,9.404520,0.728066
1.340000,9.475231,0.667813
1.350000,9.545942,0.606579
1.360000,9.616652,0.544364
1.370000,9.687363,0.481168
1.380000,9.758074,0.416992
1.390000,9.828784,0.351834
1.400000,9.899495,0.285695
1.410000,9.970206,0.218575
1.420000,10.040916,0.150474
1.430000,10.111627,0.081392
1.440000,10.182338,0.011330
1.450000,10.253048,-0.059714
